"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
10.875,-26.5728520701973,-0.0136164430826912
10.8875,-26.6647072656893,-0.0138432630445341
10.9,-26.7669492291789,-0.0140936875327548
10.9125,-26.8813857717447,-0.0143687240719097
10.925,-27.0102742148061,-0.0146694049313989
10.9375,-27.1564691434875,-0.0149967874208062
10.95,-27.3236320132879,-0.0153519541820315
10.9625,-27.5165347672102,-0.0157360134777188
10.975,-27.7415100023164,-0.0161500994758066
10.9875,-28.0071361086085,-0.0165953725298036
11,-28.3253110858033,-0.0170730194545649
