"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1.775,-23.916836731925,-0.0284336793781939
1.77725,-23.8201685219781,-0.0288419462062444
1.7795,-23.7241911412664,-0.029256309724213
1.78175,-23.6288939546912,-0.029676822313727
1.784,-23.5342665846856,-0.0301035365307102
1.78625,-23.440298902895,-0.0305365051048126
1.7885,-23.3469810221936,-0.0309757809388029
1.79075,-23.2543032890181,-0.0314214171079996
1.793,-23.1622562760069,-0.0318734668596436
1.79525,-23.0708307749271,-0.0323319836123081
1.7975,-22.9800177898776,-0.0327970209552707
1.79975,-22.8898085307557,-0.0332686326478947
1.802,-22.8001944069733,-0.0337468726189922
1.80425,-22.7111670214134,-0.0342317949661782
1.8065,-22.6227181646143,-0.0347234539552244
1.80875,-22.534839809172,-0.0352219040194054
1.811,-22.4475241043513,-0.0357271997588199
1.81325,-22.360763370895,-0.0362393959397255
1.8155,-22.2745500960248,-0.0367585474938432
1.81775,-22.1888769286226,-0.0372847095176791
1.82,-22.1037366745868,-0.0378179372717949
1.82225,-22.0191222923547,-0.03835828618013
1.8245,-21.9350268885847,-0.0389058118292475
1.82675,-21.8514437139906,-0.0394605699676286
1.829,-21.7683661593222,-0.0400226165049083
1.83125,-21.685787751486,-0.0405920075111443
1.8335,-21.6037021498003,-0.0411687992160506
1.83575,-21.5221031423787,-0.041753048008221
1.838,-21.4409846426367,-0.0423448104343514
1.84025,-21.3603406859173,-0.0429441431984593
1.8425,-21.2801654262296,-0.043551103161065
1.84475,-21.2004531330965,-0.0441657473383948
1.847,-21.1211981885074,-0.0447881329015517
1.84925,-21.0423950839708,-0.0454183171756829
1.8515,-20.9640384176638,-0.0460563576391401
1.85375,-20.886122891674,-0.0467023119226207
1.856,-20.8086433093312,-0.0473562378083007
1.85825,-20.7315945726237,-0.0480181932289636
1.8605,-20.6549716796983,-0.048688236267108
1.86275,-20.5787697224382,-0.04936642515405
1.865,-20.5029838841185,-0.0500528182690075
1.86725,-20.4276094371338,-0.0507474741381834
1.8695,-20.3526417407976,-0.0514504514338227
1.87175,-20.2780762392085,-0.0521618089732772
1.874,-20.2039084591833,-0.0528816057180357
1.87625,-20.1301340082517,-0.0536099007727599
1.8785,-20.0567485727131,-0.0543467533842935
1.88075,-19.9837479157511,-0.0550922229406795
1.883,-19.911127875605,-0.055846368970138
1.88525,-19.8388843637951,-0.0566092511400532
1.8875,-19.7670133634017,-0.0573809292559394
1.88975,-19.6955109273933,-0.0581614632603875
1.892,-19.6243731770048,-0.0589509132320194
1.89425,-19.5535963001624,-0.059749339384408
1.8965,-19.483176549954,-0.0605568020649795
1.89875,-19.4131102431436,-0.061373361753936
1.901,-19.3433937587283,-0.0621990790631278
1.90325,-19.2740235365363,-0.0630340147349354
1.9055,-19.2049960758642,-0.0638782296411259
1.90775,-19.1363079341528,-0.0647317847816966
1.91,-19.0679557256998,-0.0655947412837147
1.91225,-18.9999361204085,-0.0664671604001323
1.9145,-18.9322458425708,-0.0673491035085929
1.91675,-18.8648816696836,-0.0682406321102173
1.919,-18.7978404312976,-0.0691418078283835
1.92125,-18.7311190078977,-0.0700526924074918
1.9235,-18.664714329813,-0.0709733477117034
1.92575,-18.5986233761568,-0.071903835723684
1.928,-18.5328431737943,-0.0728442185433065
1.93025,-18.4673707963382,-0.0737945583863707
1.9325,-18.4022033631707,-0.0747549175832827
1.93475,-18.3373380384915,-0.0757253585777326
1.937,-18.2727720303901,-0.0767059439253438
1.93925,-18.2085025899428,-0.0776967362923312
1.9415,-18.144527010333,-0.0786977984541112
1.94375,-18.0808426259941,-0.0797091932939355
1.946,-18.0174468117744,-0.0807309838014649
1.94825,-17.9543369821233,-0.0817632330713708
1.9505,-17.8915105902984,-0.0828060043018881
1.95275,-17.8289651275918,-0.0838593607933745
1.955,-17.7666981225773,-0.0849233659468352
1.95725,-17.7047071403751,-0.0859980832624496
1.9595,-17.6429897819354,-0.0870835763380786
1.96175,-17.5815436833398,-0.0881799088677364
1.964,-17.5203665151195,-0.0892871446400691
1.96625,-17.4594559815909,-0.0904053475368129
1.9685,-17.3988098202071,-0.0915345815312278
1.97075,-17.3384258009247,-0.0926749106865257
1.973,-17.2783017255867,-0.093826399154259
1.97525,-17.2184354273199,-0.0949891111727337
1.9775,-17.1588247699467,-0.0961631110653622
1.97975,-17.0994676474111,-0.0973484632390345
1.982,-17.0403619832182,-0.0985452321824363
1.98425,-16.981505729887,-0.0997534824644045
1.9865,-16.9228968684162,-0.100973278732202
1.98875,-16.8645334077625,-0.102204685709821
1.991,-16.8064133843309,-0.103447768196257
1.99325,-16.7485348614767,-0.104702591063755
1.9955,-16.69089592902,-0.10596921925606
1.99775,-16.63349470277,-0.107247717786622
2,-16.5763293240613,-0.108538151736824
