"Freq [GHz]","dB(S(2,1)) []","dB(S(1,1)) []"
8.38,-0.000127802455572765,-45.9042221578494
8.385,-0.000219459251926197,-43.3044550103414
8.39,-0.000338500242295229,-41.3023995385694
8.395,-0.000485089629300484,-39.6733854300322
8.4,-0.000659390795963915,-38.2995882103884
8.405,-0.000861566294477988,-37.1114674203521
8.41,-0.00109177783509755,-36.0645295775715
8.415,-0.00135018627520403,-35.1285795318129
8.42,-0.0016369516084972,-34.2821827355318
8.425,-0.00195223295438431,-33.5095732586047
8.43,-0.00229618854748814,-32.7988159500823
8.435,-0.00266897572734578,-32.1406578701116
8.44,-0.00307075092826779,-31.5277803203905
8.445,-0.00350166966936699,-30.9542946892612
8.45,-0.00396188654476217,-30.4153925513412
8.455,-0.00445155521395344,-29.9070966376955
8.46,-0.00497082839237761,-29.4260796759827
8.465,-0.00551985784216028,-28.969530046978
8.47,-0.00609879436302602,-28.5350504500928
8.475,-0.006707787783421,-28.1205802995562
8.48,-0.00734698695180733,-27.724335479876
8.485,-0.0080165397281615,-27.3447609997394
8.49,-0.00871659297567092,-26.9804933661111
8.495,-0.00944729255260592,-26.6303303780151
8.5,-0.0102087833044288,-26.2932066506608
8.505,-0.0110012090560643,-25.968173612958
8.51,-0.0118247126044115,-25.6543830318143
8.515,-0.0126794357110399,-25.3510733423626
8.52,-0.0135655190951007,-25.0575582295162
8.525,-0.0144831024264587,-24.7732170300604
8.53,-0.0154323243190154,-24.497486617707
8.535,-0.0164133223242782,-24.2298545043672
8.54,-0.0174262329251166,-23.9698529452631
8.545,-0.018471191529765,-23.7170538775328
8.55,-0.0195483324660228,-23.4710645547916
8.555,-0.0206577889756943,-23.2315237658771
8.56,-0.0217996932092366,-22.9980985464057
8.565,-0.0229741762206602,-22.7704813080203
8.57,-0.0241813679626237,-22.5483873232349
8.575,-0.0254213972817766,-22.3315525142936
8.58,-0.0266943919143369,-22.1197315029847
8.585,-0.0280004784818834,-21.9126958853025
8.59,-0.0293397824873931,-21.7102327005458
8.595,-0.030712428311501,-21.5121430691361
8.6,-0.0321185392090136,-21.318240977323
8.605,-0.0335582373056292,-21.1283521901662
8.61,-0.0350316435949275,-20.9423132768838
8.615,-0.036538877935568,-20.7599707349071
8.62,-0.03808005904874,-20.5811802008846
8.625,-0.0396553045158465,-20.4058057384773
8.63,-0.0412647307764288,-20.2337191941491
8.635,-0.0429084531263363,-20.0647996133045
8.64,-0.0445865857161227,-19.8989327101168
8.645,-0.0462992415496856,-19.7360103852265
8.65,-0.0480465324831552,-19.5759302862153
8.655,-0.0498285692240128,-19.4185954063826
8.66,-0.05164546133046,-19.2639137178856
8.665,-0.0534973172110028,-19.1117978357726
8.67,-0.0553842441243193,-18.962164709837
8.675,-0.0573063481793193,-18.8149353415739
8.68,-0.0592637343354658,-18.6700345238236
8.685,-0.0612565064033504,-18.5273906009547
8.69,-0.0632847670454736,-18.3869352476721
8.695,-0.0653486177772784,-18.2486032647411
8.7,-0.0674481589684278,-18.1123323900986
8.705,-0.0695834898443156,-17.9780631239806
8.71,-0.0717547084877944,-17.8457385668374
8.715,-0.0739619118411558,-17.7153042689299
8.72,-0.0762051957083399,-17.5867080906112
8.725,-0.0784846547573799,-17.4599000723967
8.73,-0.080800382523062,-17.3348323140104
8.735,-0.0831524714098296,-17.2114588616732
8.74,-0.0855410126949099,-17.0897356029708
8.745,-0.0879660965316724,-16.9696201686959
8.75,-0.0904278119531997,-16.8510718411176
8.755,-0.092926246876091,-16.7340514681811
8.76,-0.0954614881044803,-16.6185213831831
8.765,-0.0980336213342882,-16.5044453295081
8.77,-0.100642731157663,-16.3917883900518
8.775,-0.103288901067683,-16.2805169209813
8.78,-0.105972213463208,-16.1705984895217
